"No.","Time","Source","Destination","Protocol","Length","Info"
"104","6.489056","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"105","6.489058","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"106","6.489679","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"107","6.489681","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"108","6.489800","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2405:200:1630:bb8::c","UDP","96","64295  >  443 Len=34"
"109","6.495874","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2405:200:1630:bb8::c","UDP","97","64295  >  443 Len=35"
"110","6.504130","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"111","6.504132","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"112","6.504134","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"113","6.504136","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"114","6.504137","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"115","6.504138","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"116","6.504140","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"117","6.504141","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"118","6.504142","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"119","6.510205","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","2405:200:1630:bb8::c","UDP","97","64295  >  443 Len=35"
"120","6.532187","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"121","6.532191","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"122","6.532193","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"123","6.532195","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
"124","6.532197","2405:200:1630:bb8::c","2409:40e0:1a:1598:80c3:6e0e:14a2:22e8","UDP","1292","443  >  64295 Len=1230"
